,EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
0,1,3.0,4.0,2.0,3,3,51,No,Travel_Rarely,Sales,3.75,2,Life Sciences,Female,1,Healthcare Representative,Married,1705.08,1.0,Y,11,8,0,1.0,6,1,0,0
1,2,3.0,2.0,4.0,2,4,31,Yes,Travel_Frequently,Research & Development,6.25,1,Life Sciences,Female,1,Research Scientist,Single,544.5699999999999,0.0,Y,23,8,1,6.0,3,5,1,4
2,3,2.0,2.0,1.0,3,3,32,No,Travel_Frequently,Research & Development,10.625,4,Other,Male,4,Sales Executive,Married,2512.64,1.0,Y,15,8,3,5.0,2,5,0,3
3,4,4.0,4.0,3.0,2,3,38,No,Non-Travel,Research & Development,1.25,5,Life Sciences,Male,3,Human Resources,Married,1081.73,3.0,Y,11,8,3,13.0,5,8,7,5
4,5,4.0,1.0,3.0,3,3,32,No,Travel_Rarely,Research & Development,6.25,1,Medical,Male,1,Sales Executive,Single,304.46,4.0,Y,12,8,2,9.0,2,6,0,4
5,6,3.0,2.0,2.0,3,3,46,No,Travel_Rarely,Research & Development,5.0,3,Life Sciences,Female,4,Research Director,Married,529.23,3.0,Y,13,8,0,28.0,5,7,7,7
6,7,1.0,3.0,1.0,3,4,28,Yes,Travel_Rarely,Research & Development,6.875,2,Medical,Male,2,Sales Executive,Single,755.6899999999999,2.0,Y,20,8,1,5.0,2,0,0,0
7,8,1.0,2.0,3.0,3,4,29,No,Travel_Rarely,Research & Development,11.25,3,Life Sciences,Male,2,Sales Executive,Married,408.59,2.0,Y,22,8,3,10.0,2,0,0,0
8,9,2.0,4.0,3.0,3,4,31,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,Male,3,Laboratory Technician,Married,265.71999999999997,0.0,Y,21,8,0,10.0,2,9,7,8
9,10,2.0,1.0,3.0,3,3,25,No,Non-Travel,Research & Development,4.375,4,Medical,Female,4,Laboratory Technician,Divorced,1750.32,1.0,Y,13,8,1,6.0,2,6,1,5
10,11,3.0,4.0,3.0,2,3,45,No,Travel_Rarely,Research & Development,10.625,2,Medical,Male,2,Laboratory Technician,Married,1038.83,0.0,Y,13,8,2,21.0,2,20,4,10
12,13,4.0,1.0,3.0,3,3,55,No,Travel_Rarely,Research & Development,8.75,4,Life Sciences,Female,1,Sales Executive,Single,719.9399999999999,0.0,Y,17,8,0,37.0,2,36,4,13
13,14,1.0,2.0,2.0,2,3,47,Yes,Non-Travel,Research & Development,0.625,1,Medical,Male,1,Research Scientist,Married,749.06,1.0,Y,11,8,2,10.0,4,10,9,9
14,15,4.0,4.0,2.0,3,3,28,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,Male,1,Manufacturing Director,Married,336.96,1.0,Y,14,8,0,5.0,2,5,0,4
15,16,3.0,4.0,4.0,3,3,37,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,Male,2,Healthcare Representative,Married,694.98,4.0,Y,11,8,0,7.0,2,5,0,1
16,17,4.0,3.0,4.0,2,3,21,No,Travel_Rarely,Research & Development,1.875,2,Life Sciences,Male,1,Laboratory Technician,Single,547.6899999999999,1.0,Y,12,8,3,3.0,3,3,1,0
17,18,1.0,4.0,3.0,3,3,37,No,Non-Travel,Research & Development,0.625,3,Medical,Male,2,Sales Executive,Divorced,536.51,2.0,Y,13,8,1,15.0,2,5,0,2
18,19,2.0,2.0,2.0,2,3,35,No,Travel_Rarely,Sales,4.375,4,Life Sciences,Male,1,Sales Representative,Divorced,316.94,7.0,Y,16,8,0,10.0,5,7,6,2
19,20,1.0,1.0,3.0,3,3,38,No,Travel_Rarely,Research & Development,5.0,3,Life Sciences,Female,1,Manager,Divorced,893.0999999999999,1.0,Y,11,8,1,8.0,5,8,7,7
20,21,3.0,2.0,1.0,3,3,26,No,Travel_Frequently,Research & Development,0.625,4,Other,Male,2,Laboratory Technician,Divorced,1358.11,1.0,Y,18,8,0,6.0,3,6,1,4
21,22,1.0,2.0,2.0,2,4,50,No,Travel_Rarely,Sales,5.0,4,Life Sciences,Male,1,Research Scientist,Divorced,1256.71,3.0,Y,23,8,0,28.0,2,10,1,6
