Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
51,No,Travel_Rarely,Sales,3.75,2,Life Sciences,1,Female,1,Healthcare Representative,Married,1705.08,1.0,11,8,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3
31,Yes,Travel_Frequently,Research & Development,6.25,1,Life Sciences,2,Female,1,Research Scientist,Single,544.5699999999999,0.0,23,8,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4
32,No,Travel_Frequently,Research & Development,10.625,4,Other,3,Male,4,Sales Executive,Married,2512.64,1.0,15,8,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3
38,No,Non-Travel,Research & Development,1.25,5,Life Sciences,4,Male,3,Human Resources,Married,1081.73,3.0,11,8,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3
32,No,Travel_Rarely,Research & Development,6.25,1,Medical,5,Male,1,Sales Executive,Single,304.46,4.0,12,8,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3
46,No,Travel_Rarely,Research & Development,5.0,3,Life Sciences,6,Female,4,Research Director,Married,529.23,3.0,13,8,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3
28,Yes,Travel_Rarely,Research & Development,6.875,2,Medical,7,Male,2,Sales Executive,Single,755.6899999999999,2.0,20,8,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4
29,No,Travel_Rarely,Research & Development,11.25,3,Life Sciences,8,Male,2,Sales Executive,Married,408.59,2.0,22,8,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4
31,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,9,Male,3,Laboratory Technician,Married,265.72,0.0,21,8,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4
25,No,Non-Travel,Research & Development,4.375,4,Medical,10,Female,4,Laboratory Technician,Divorced,1750.32,1.0,13,8,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3
45,No,Travel_Rarely,Research & Development,10.625,2,Medical,11,Male,2,Laboratory Technician,Married,1038.83,0.0,13,8,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3
55,No,Travel_Rarely,Research & Development,8.75,4,Life Sciences,13,Female,1,Sales Executive,Single,719.9399999999999,0.0,17,8,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3
47,Yes,Non-Travel,Research & Development,0.625,1,Medical,14,Male,1,Research Scientist,Married,749.06,1.0,11,8,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3
28,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,15,Male,1,Manufacturing Director,Married,336.96,1.0,14,8,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3
37,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,16,Male,2,Healthcare Representative,Married,694.98,4.0,11,8,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3
21,No,Travel_Rarely,Research & Development,1.875,2,Life Sciences,17,Male,1,Laboratory Technician,Single,547.6899999999999,1.0,12,8,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3
37,No,Non-Travel,Research & Development,0.625,3,Medical,18,Male,2,Sales Executive,Divorced,536.51,2.0,13,8,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3
35,No,Travel_Rarely,Sales,4.375,4,Life Sciences,19,Male,1,Sales Representative,Divorced,316.94,7.0,16,8,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3
38,No,Travel_Rarely,Research & Development,5.0,3,Life Sciences,20,Female,1,Manager,Divorced,893.0999999999999,1.0,11,8,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3
26,No,Travel_Frequently,Research & Development,0.625,4,Other,21,Male,2,Laboratory Technician,Divorced,1358.11,1.0,18,8,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3
50,No,Travel_Rarely,Sales,5.0,4,Life Sciences,22,Male,1,Research Scientist,Divorced,1256.71,3.0,23,8,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4
53,No,Travel_Rarely,Research & Development,6.875,4,Life Sciences,23,Female,2,Research Scientist,Married,279.24,3.0,11,8,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3
29,No,Travel_Frequently,Research & Development,10.0,4,Medical,25,Male,1,Laboratory Technician,Single,846.6899999999999,1.0,11,8,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3
55,No,Travel_Rarely,Research & Development,0.625,4,Other,26,Female,1,Research Scientist,Married,883.87,3.0,11,8,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3
26,No,Travel_Frequently,Research & Development,5.625,3,Life Sciences,27,Female,1,Manager,Married,2117.83,1.0,22,8,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4
37,No,Travel_Rarely,Sales,3.125,1,Marketing,28,Male,1,Research Scientist,Single,351.65,1.0,11,8,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3
44,Yes,Travel_Frequently,Research & Development,0.625,2,Medical,29,Male,2,Research Scientist,Divorced,1343.29,3.0,14,8,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3
38,No,Travel_Rarely,Sales,1.25,3,Marketing,30,Female,1,Manager,Divorced,578.24,9.0,12,8,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3
26,Yes,Travel_Rarely,Research & Development,2.5,3,Medical,31,Male,3,Research Scientist,Divorced,891.02,2.0,11,8,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3
28,No,Travel_Rarely,Research & Development,4.375,3,Other,32,Male,1,Human Resources,Single,1252.81,1.0,13,8,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3
49,No,Travel_Frequently,Research & Development,0.625,1,Medical,33,Female,2,Research Scientist,Single,466.83,9.0,13,8,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3
36,No,Travel_Rarely,Sales,3.125,3,Technical Degree,34,Male,3,Sales Executive,Single,702.65,4.0,14,8,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3
31,No,Travel_Frequently,Research & Development,5.625,4,Medical,35,Male,1,Sales Executive,Divorced,608.92,1.0,16,8,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3
26,Yes,Travel_Rarely,Research & Development,5.0,3,Medical,36,Male,2,Manager,Single,2052.31,1.0,12,8,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3
37,No,Travel_Frequently,Sales,5.625,1,Marketing,37,Male,1,Laboratory Technician,Married,196.82,1.0,14,8,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3
42,No,Travel_Frequently,Sales,1.25,2,Marketing,38,Male,3,Research Director,Married,384.28,5.0,13,8,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3
18,Yes,Travel_Rarely,Research & Development,0.625,4,Life Sciences,39,Male,1,Sales Executive,Single,303.55,1.0,14,8,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3
35,No,Travel_Rarely,Sales,12.5,2,Life Sciences,40,Male,1,Laboratory Technician,Married,670.02,0.0,19,8,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3
51,No,Travel_Rarely,Research & Development,1.25,3,Life Sciences,42,Male,2,Laboratory Technician,Divorced,737.75,5.0,13,8,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3
41,No,Travel_Rarely,Research & Development,18.125,1,Life Sciences,43,Male,1,Laboratory Technician,Single,309.27,1.0,12,8,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3
18,No,Travel_Rarely,Sales,4.375,3,Life Sciences,44,Male,1,Research Scientist,Single,495.56,1.0,15,8,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3
28,No,Travel_Rarely,Research & Development,5.625,3,Medical,45,Male,1,Sales Representative,Single,604.24,0.0,23,8,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4
31,No,Travel_Rarely,Research & Development,5.0,1,Technical Degree,46,Male,1,Manufacturing Director,Married,381.68,4.0,12,8,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3
39,No,Travel_Rarely,Sales,3.125,4,Marketing,47,Female,2,Human Resources,Divorced,273.65,0.0,20,8,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4
36,No,Non-Travel,Research & Development,3.125,4,Life Sciences,48,Male,1,Sales Executive,Married,1115.14,7.0,21,8,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4
32,No,Travel_Rarely,Sales,1.25,3,Marketing,49,Male,2,Laboratory Technician,Married,351.78,1.0,21,8,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4
38,No,Travel_Rarely,Research & Development,3.125,2,Life Sciences,50,Female,3,Research Scientist,Married,829.92,3.0,19,8,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3
58,No,Non-Travel,Research & Development,1.25,3,Life Sciences,51,Male,2,Manufacturing Director,Divorced,515.84,2.0,13,8,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3
31,No,Travel_Rarely,Research & Development,12.5,1,Technical Degree,52,Female,3,Research Scientist,Married,1287.91,0.0,13,8,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3
31,No,Travel_Rarely,Sales,4.375,4,Marketing,53,Male,2,Sales Executive,Married,1719.25,3.0,21,8,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4
